outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.208007025426484375e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.207892235812248535e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.207788184863010254e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.207693775695025635e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.207607994695628052e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.207529939370145874e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.207458758292862549e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.207393682711266479e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.207334041814078979e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.207279194944338989e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.207228524630056152e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.207181495100502930e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.207137650666354980e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.207096467110744629e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.207057553525362549e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.207020436865692749e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.206984767415501709e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.206950118207738037e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.206916136949277954e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.206882515302158813e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.206848810942809448e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.206814642085505981e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.206779762041603394e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.206743708104815063e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.206706059114932251e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.206666567792436523e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.206624725999949341e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.206580093681451416e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.206532048678431396e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.206480402244662476e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.206424282234918823e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.206363324843439331e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.206296726617230225e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.206224034333444824e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.206144268002886963e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.206056650378453369e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.205960522682257080e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.205854330031765747e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.205737154287817383e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.205608189958472900e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-4.205466025986286621e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-4.205309165046608887e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-4.205135892510728149e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-4.204944567620402832e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-4.204733599931484985e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-4.204501062062106934e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-4.204243219104553223e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-4.203958513576632080e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-4.203645795740725708e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-4.203301006410176392e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-4.202920372613824463e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-4.202502194570881958e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-4.202039914846275635e+11
-2.615000000000000213e+00,-6.000000000000000000e+00,-4.201531797165667725e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-4.200973782155324707e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-4.200360538368063354e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-4.199689964277629395e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-4.198954519037144775e+11
-2.390000000000000124e+00,-6.000000000000000000e+00,-4.198147744256029663e+11
-2.345000000000000195e+00,-6.000000000000000000e+00,-4.197265606165079956e+11
-2.300000000000000266e+00,-6.000000000000000000e+00,-4.196305604740753174e+11
-2.254999999999999893e+00,-6.000000000000000000e+00,-4.195258946905745239e+11
-2.209999999999999964e+00,-6.000000000000000000e+00,-4.194116627397642212e+11
-2.165000000000000036e+00,-6.000000000000000000e+00,-4.192880319661348267e+11
-2.120000000000000107e+00,-6.000000000000000000e+00,-4.191541237140433350e+11
-2.075000000000000178e+00,-6.000000000000000000e+00,-4.190090480890136108e+11
-2.030000000000000249e+00,-6.000000000000000000e+00,-4.188530241653635864e+11
-1.985000000000000320e+00,-6.000000000000000000e+00,-4.186847441548339233e+11
-1.939999999999999947e+00,-6.000000000000000000e+00,-4.185052329749283447e+11
-1.895000000000000018e+00,-6.000000000000000000e+00,-4.183112679402956543e+11
-1.850000000000000089e+00,-6.000000000000000000e+00,-4.181062709156373291e+11
-1.805000000000000160e+00,-6.000000000000000000e+00,-4.178881612876372681e+11
-1.760000000000000231e+00,-6.000000000000000000e+00,-4.176582745132475586e+11
-1.715000000000000302e+00,-6.000000000000000000e+00,-4.174136920279975586e+11
-1.669999999999999929e+00,-6.000000000000000000e+00,-4.171582197071965332e+11
-1.625000000000000000e+00,-6.000000000000000000e+00,-4.168906315481186523e+11
-1.580000000000000071e+00,-6.000000000000000000e+00,-4.166109267355245361e+11
-1.535000000000000142e+00,-6.000000000000000000e+00,-4.163233222110916138e+11
-1.490000000000000213e+00,-6.000000000000000000e+00,-4.160239888032045288e+11
-1.445000000000000284e+00,-6.000000000000000000e+00,-4.157223643040831909e+11
-1.400000000000000355e+00,-6.000000000000000000e+00,-4.154081247836557007e+11
-1.354999999999999982e+00,-6.000000000000000000e+00,-4.150948772137976074e+11
-1.310000000000000053e+00,-6.000000000000000000e+00,-4.147722989551956177e+11
-1.265000000000000124e+00,-6.000000000000000000e+00,-4.144505587932723999e+11
-1.220000000000000195e+00,-6.000000000000000000e+00,-4.141316687393599243e+11
-1.175000000000000266e+00,-6.000000000000000000e+00,-4.138085767397604980e+11
-1.130000000000000338e+00,-6.000000000000000000e+00,-4.134910190392908325e+11
-1.084999999999999964e+00,-6.000000000000000000e+00,-4.131775482688239136e+11
-1.040000000000000036e+00,-6.000000000000000000e+00,-4.128750941777816162e+11
-9.950000000000001066e-01,-6.000000000000000000e+00,-4.125851288080255737e+11
-9.500000000000001776e-01,-6.000000000000000000e+00,-4.122954918580859375e+11
-9.050000000000002487e-01,-6.000000000000000000e+00,-4.120164284902789307e+11
-8.600000000000003197e-01,-6.000000000000000000e+00,-4.117533585011453247e+11
-8.150000000000003908e-01,-6.000000000000000000e+00,-4.115102811657361450e+11
-7.700000000000004619e-01,-6.000000000000000000e+00,-4.112658943833300171e+11
