outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.210280513249350586e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.209727865248317871e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.209227876876124268e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.208775361743041992e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.208365603928509521e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.207994360355201416e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.207657706339678345e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.207352122345207520e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.207074382588884277e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.206821616877481079e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.206591096082579346e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.206380380346782837e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.206187252364544678e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.206009661989524536e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.205845689310565796e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.205693682679263306e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.205551906265355835e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.205418929662359009e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.205293365108291016e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.205173669559913330e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.205058769751446533e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.204947361671268311e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.204838235954301758e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.204730340594995728e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.204622331646580200e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.204513149412121582e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.204401654298418579e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.204286669149436646e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.204166788488237915e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.204040898896832275e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.203907780512470703e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.203765427758864746e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.203613055780821533e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.203448702632307129e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.203270722467432861e+11
