outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.993495357737003174e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.993494436565942993e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.993493595960560303e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.993492841394796753e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.993492153624160156e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.993491537673722534e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.993490962396145020e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.993490459408190918e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.993490006353526001e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.993489580013845825e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.993489199484418945e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.993488877420323486e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.993488535874824829e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.993488227736729126e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.993488003059429932e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.993487690545642090e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.993487485753795166e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.993487282557562256e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.993487158074918213e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.993486975966544800e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.993486754880664062e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.993486544572519531e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.993486480834528198e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.993486302992224731e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.993486079033563843e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.993485905813572388e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.993485730264064941e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.993485549042664795e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.993485377162003784e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.993485249923497925e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.993485157826558838e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.993484845141408691e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.993484691757410278e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.993484263326623535e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.993484070035809937e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.993484247028677368e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.993483837597701416e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.993483546136984253e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.993482889887946167e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.993482887186056519e+11
