outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-1.454033808074993896e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-1.451575601455112915e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-1.449356397608927307e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-1.447353210356526489e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-1.445545218325538330e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-1.443913566757914734e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-1.442441178218157959e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-1.441112614876954041e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-1.439913909460814514e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-1.438832433460806274e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-1.437856769900727539e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-1.436976599071326294e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-1.436182593072143250e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-1.435466341570196838e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-1.434820231516396484e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-1.434237398679476624e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-1.433711614688298950e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-1.433237309050568237e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-1.432809414766332397e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-1.432423354339773560e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-1.432075012704206848e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-1.431760673119651184e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-1.431476943155970154e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-1.431220858149054565e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-1.430989634105674133e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-1.430780764121947632e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-1.430592024257510986e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-1.430421479148226929e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-1.430267133939467163e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-1.430127525905945435e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-1.430001045441230774e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-1.429886303625690613e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-1.429782177428002319e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-1.429687492684743652e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-1.429601176179434814e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-1.429522475415553589e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-1.429450310359287415e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-1.429384133834387817e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-1.429323128389280701e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-1.429266578561406555e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-1.429213886074321899e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-1.429164552955732117e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-1.429118189829532471e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-1.429073959364156189e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-1.429031809736418762e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-1.428990864115774231e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-1.428950904631361389e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-1.428911663859124756e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-1.428872498225359192e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-1.428832796750419312e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-1.428792658994824524e+11
