outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.532400900889797363e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.532305860879682617e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.532214196119252319e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.532124907494372559e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.532037040526018677e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.531949659071398926e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.531861843318476562e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.531772649001902466e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.531681088811528931e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.531586216572366333e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.531486998660544434e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.531382380539926758e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.531271229093665771e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.531152379373931885e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.531024540972481079e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.530886331687443237e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.530736331354741211e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.530572853584734497e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.530394238461596680e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.530198490906921387e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.529983618110175781e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.529747196542741699e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.529486900269662476e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.529199734926762695e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.528882846143205566e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.528532724103315430e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.528145812369159546e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.527717832203039551e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.527244324500629883e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.526720491264613037e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.526140603610812988e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.525498507374738770e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.524787897026782837e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.524000808680967407e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.523129347901163940e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.522164782407053833e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.521096406262788086e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.519913873025888062e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.518604401361771851e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.517155774158318481e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-4.515552568144848633e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-4.513779187040195923e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-4.511817290092273560e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-4.509647522269650269e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-4.507249062693483887e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-4.504598271786084595e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-4.501669452761576538e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-4.498438118113856812e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-4.494869431023355713e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-4.490933586394921875e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-4.486593154854537354e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-4.481811590983640137e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-4.476547392333097534e+11
-2.615000000000000213e+00,-6.000000000000000000e+00,-4.470756387299812622e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-4.464388445924436035e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-4.457395989151933594e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-4.449724284998464966e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-4.441314920326613770e+11
-2.390000000000000124e+00,-6.000000000000000000e+00,-4.432110866050427856e+11
-2.345000000000000195e+00,-6.000000000000000000e+00,-4.422049743024946899e+11
-2.300000000000000266e+00,-6.000000000000000000e+00,-4.411074168132848511e+11
-2.254999999999999893e+00,-6.000000000000000000e+00,-4.399108263453529663e+11
-2.209999999999999964e+00,-6.000000000000000000e+00,-4.386092875719581299e+11
-2.165000000000000036e+00,-6.000000000000000000e+00,-4.371965329202996826e+11
-2.120000000000000107e+00,-6.000000000000000000e+00,-4.356653847019089966e+11
-2.075000000000000178e+00,-6.000000000000000000e+00,-4.340103334948381958e+11
-2.030000000000000249e+00,-6.000000000000000000e+00,-4.322255294077644043e+11
-1.985000000000000320e+00,-6.000000000000000000e+00,-4.303052151307229614e+11
-1.939999999999999947e+00,-6.000000000000000000e+00,-4.282458298146900024e+11
-1.895000000000000018e+00,-6.000000000000000000e+00,-4.260438874379263306e+11
-1.850000000000000089e+00,-6.000000000000000000e+00,-4.236954747074121704e+11
-1.805000000000000160e+00,-6.000000000000000000e+00,-4.212024856597827148e+11
-1.760000000000000231e+00,-6.000000000000000000e+00,-4.185621554740666504e+11
-1.715000000000000302e+00,-6.000000000000000000e+00,-4.157785058062853394e+11
-1.669999999999999929e+00,-6.000000000000000000e+00,-4.128552892338226318e+11
-1.625000000000000000e+00,-6.000000000000000000e+00,-4.097995036140979614e+11
-1.580000000000000071e+00,-6.000000000000000000e+00,-4.066186396754657593e+11
-1.535000000000000142e+00,-6.000000000000000000e+00,-4.033235894805228882e+11
-1.490000000000000213e+00,-6.000000000000000000e+00,-3.999225706083858032e+11
-1.445000000000000284e+00,-6.000000000000000000e+00,-3.964340491280223389e+11
-1.400000000000000355e+00,-6.000000000000000000e+00,-3.928749245370957642e+11
-1.354999999999999982e+00,-6.000000000000000000e+00,-3.892607784982549438e+11
-1.310000000000000053e+00,-6.000000000000000000e+00,-3.856065758884417725e+11
-1.265000000000000124e+00,-6.000000000000000000e+00,-3.819358559467536011e+11
-1.220000000000000195e+00,-6.000000000000000000e+00,-3.782716032356869507e+11
-1.175000000000000266e+00,-6.000000000000000000e+00,-3.746179454986210938e+11
-1.130000000000000338e+00,-6.000000000000000000e+00,-3.710137089837929077e+11
-1.084999999999999964e+00,-6.000000000000000000e+00,-3.674662799726661987e+11
-1.040000000000000036e+00,-6.000000000000000000e+00,-3.639963787640164795e+11
-9.950000000000001066e-01,-6.000000000000000000e+00,-3.606190989266085815e+11
-9.500000000000001776e-01,-6.000000000000000000e+00,-3.573456308707221680e+11
-9.050000000000002487e-01,-6.000000000000000000e+00,-3.541839284248573608e+11
-8.600000000000003197e-01,-6.000000000000000000e+00,-3.511589990197951660e+11
-8.150000000000003908e-01,-6.000000000000000000e+00,-3.482590629887709961e+11
-7.700000000000004619e-01,-6.000000000000000000e+00,-3.455000462979711914e+11
-7.250000000000005329e-01,-6.000000000000000000e+00,-3.428998175427637329e+11
-6.799999999999997158e-01,-6.000000000000000000e+00,-3.404244554512229004e+11
-6.349999999999997868e-01,-6.000000000000000000e+00,-3.381120813307443237e+11
-5.899999999999998579e-01,-6.000000000000000000e+00,-3.359430209921990356e+11
-5.449999999999999289e-01,-6.000000000000000000e+00,-3.339241749879089355e+11
-5.000000000000000000e-01,-6.000000000000000000e+00,-3.320344829456077881e+11
-4.550000000000000711e-01,-6.000000000000000000e+00,-3.302705558956186523e+11
-4.100000000000001421e-01,-6.000000000000000000e+00,-3.286411032313644409e+11
-3.650000000000002132e-01,-6.000000000000000000e+00,-3.271261825900185547e+11
-3.200000000000002842e-01,-6.000000000000000000e+00,-3.257420089371768799e+11
-2.750000000000003553e-01,-6.000000000000000000e+00,-3.244482056696195679e+11
-2.300000000000004263e-01,-6.000000000000000000e+00,-3.232846355539499512e+11
-1.850000000000004974e-01,-6.000000000000000000e+00,-3.221953997694376831e+11
-1.400000000000005684e-01,-6.000000000000000000e+00,-3.212178763116411133e+11
-9.499999999999975131e-02,-6.000000000000000000e+00,-3.202842648951580200e+11
-4.999999999999982236e-02,-6.000000000000000000e+00,-3.194739997935488892e+11
-4.999999999999893419e-03,-6.000000000000000000e+00,-3.187210829391292725e+11
