outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-1.693058220262432556e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-1.690760414150597839e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-1.688684914831441650e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-1.686810220961084290e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-1.685116841808264771e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-1.683587122108273010e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-1.682205047042489014e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-1.680956116133013916e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-1.679827205799790039e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-1.678806418320434875e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-1.677882984346579285e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-1.677047124748684082e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-1.676289950238405151e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-1.675603499979758606e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-1.674980418449224854e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-1.674414127048323975e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-1.673898544863698425e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-1.673428227554440613e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-1.672998128490180054e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-1.672603672361632385e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-1.672240606457709961e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-1.671905080057952576e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-1.671593497565982361e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-1.671302577960284424e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-1.671029127322381287e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-1.670770243451873169e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-1.670523167707541504e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-1.670285247429931641e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-1.670053912588071899e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-1.669826687972742004e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-1.669601282432042542e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-1.669374872537259521e+11
