outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.999158973293951416e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.999154958540511475e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.999150621411586914e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.999145912769349365e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.999140787569093628e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.999135192634754028e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.999129067271979370e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.999122317542999878e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.999114911438307495e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.999106764401158447e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.999097776203971558e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.999087830517767334e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.999076842362762451e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.999064708724841919e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.999051284125128174e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.999036456050592041e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.999019938643100586e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.999001746796406250e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.998981557419576416e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.998959224143038330e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.998934442237724609e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.998906866372737427e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.998876558873048706e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.998842755720203857e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.998805292391531982e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.998763774207309570e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.998717581079348755e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.998666703123912354e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.998609931788984375e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.998547123841723633e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.998477684806119385e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.998400382860231323e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.998314631199399414e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.998219844665416870e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.998114788401863403e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.997998311710846558e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.997868730929589844e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.997725150848355713e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.997565650105831299e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.997389450648546143e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-4.997193576391370239e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-4.996977693660992432e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-4.996737608530550537e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-4.996471820140079956e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-4.996175358189960938e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-4.995848460218502197e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-4.995485560725821533e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-4.995084546378691406e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-4.994639227420372925e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-4.994146179193046875e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-4.993600946422738037e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-4.992996083109691162e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-4.992327521720446167e+11
-2.615000000000000213e+00,-6.000000000000000000e+00,-4.991584389067767334e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-4.990763819723037109e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-4.989858029123286133e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-4.988851515194556885e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-4.987739452932258911e+11
-2.390000000000000124e+00,-6.000000000000000000e+00,-4.986508189248500977e+11
-2.345000000000000195e+00,-6.000000000000000000e+00,-4.985150610663203125e+11
-2.300000000000000266e+00,-6.000000000000000000e+00,-4.983647842256022339e+11
-2.254999999999999893e+00,-6.000000000000000000e+00,-4.981989637078137817e+11
-2.209999999999999964e+00,-6.000000000000000000e+00,-4.980162424624989014e+11
-2.165000000000000036e+00,-6.000000000000000000e+00,-4.978136965906400146e+11
-2.120000000000000107e+00,-6.000000000000000000e+00,-4.975912836957283325e+11
-2.075000000000000178e+00,-6.000000000000000000e+00,-4.973452251303013916e+11
-2.030000000000000249e+00,-6.000000000000000000e+00,-4.970754742434069214e+11
-1.985000000000000320e+00,-6.000000000000000000e+00,-4.967777643782244263e+11
-1.939999999999999947e+00,-6.000000000000000000e+00,-4.964502131868772583e+11
-1.895000000000000018e+00,-6.000000000000000000e+00,-4.960900885125179443e+11
-1.850000000000000089e+00,-6.000000000000000000e+00,-4.956947808056766357e+11
-1.805000000000000160e+00,-6.000000000000000000e+00,-4.952634199662785034e+11
-1.760000000000000231e+00,-6.000000000000000000e+00,-4.947895397596690674e+11
-1.715000000000000302e+00,-6.000000000000000000e+00,-4.942691775095419922e+11
-1.669999999999999929e+00,-6.000000000000000000e+00,-4.937021824130120239e+11
-1.625000000000000000e+00,-6.000000000000000000e+00,-4.930846712138002930e+11
-1.580000000000000071e+00,-6.000000000000000000e+00,-4.924106759575777588e+11
-1.535000000000000142e+00,-6.000000000000000000e+00,-4.916797623513305664e+11
-1.490000000000000213e+00,-6.000000000000000000e+00,-4.908852050087675781e+11
-1.445000000000000284e+00,-6.000000000000000000e+00,-4.900253158489316406e+11
-1.400000000000000355e+00,-6.000000000000000000e+00,-4.891007590434163818e+11
-1.354999999999999982e+00,-6.000000000000000000e+00,-4.880981568697259521e+11
-1.310000000000000053e+00,-6.000000000000000000e+00,-4.870220726228292236e+11
-1.265000000000000124e+00,-6.000000000000000000e+00,-4.858698210633054810e+11
-1.220000000000000195e+00,-6.000000000000000000e+00,-4.846440623021137695e+11
-1.175000000000000266e+00,-6.000000000000000000e+00,-4.833325645174589844e+11
-1.130000000000000338e+00,-6.000000000000000000e+00,-4.819429522424630737e+11
-1.084999999999999964e+00,-6.000000000000000000e+00,-4.804797975885255737e+11
-1.040000000000000036e+00,-6.000000000000000000e+00,-4.789348482405173950e+11
-9.950000000000001066e-01,-6.000000000000000000e+00,-4.773163673119601440e+11
-9.500000000000001776e-01,-6.000000000000000000e+00,-4.756268049612254639e+11
-9.050000000000002487e-01,-6.000000000000000000e+00,-4.738778424330903320e+11
-8.600000000000003197e-01,-6.000000000000000000e+00,-4.720625239653719482e+11
-8.150000000000003908e-01,-6.000000000000000000e+00,-4.702025145104108276e+11
-7.700000000000004619e-01,-6.000000000000000000e+00,-4.682861529764422607e+11
-7.250000000000005329e-01,-6.000000000000000000e+00,-4.663368856724974365e+11
-6.799999999999997158e-01,-6.000000000000000000e+00,-4.643661939177037964e+11
-6.349999999999997868e-01,-6.000000000000000000e+00,-4.623663350507869873e+11
-5.899999999999998579e-01,-6.000000000000000000e+00,-4.604130127868831787e+11
-5.449999999999999289e-01,-6.000000000000000000e+00,-4.584052840948789062e+11
-5.000000000000000000e-01,-6.000000000000000000e+00,-4.564426080369749756e+11
-4.550000000000000711e-01,-6.000000000000000000e+00,-4.544837427703387451e+11
-4.100000000000001421e-01,-6.000000000000000000e+00,-4.526034637657781982e+11
-3.650000000000002132e-01,-6.000000000000000000e+00,-4.507090960714539795e+11
-3.200000000000002842e-01,-6.000000000000000000e+00,-4.489223091142653198e+11
-2.750000000000003553e-01,-6.000000000000000000e+00,-4.471423482730960083e+11
-2.300000000000004263e-01,-6.000000000000000000e+00,-4.455061809587384033e+11
-1.850000000000004974e-01,-6.000000000000000000e+00,-4.438447912061163940e+11
-1.400000000000005684e-01,-6.000000000000000000e+00,-4.423468391941793823e+11
-9.499999999999975131e-02,-6.000000000000000000e+00,-4.409047781538893433e+11
