outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-3.299638393722537842e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-3.298452155390162354e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-3.297379704435501099e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-3.296409922462762451e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-3.295532716736823120e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-3.294738952823333740e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-3.294020305006074219e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-3.293369263333673706e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-3.292778931869763184e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-3.292243118055792236e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-3.291756195520323486e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-3.291312938371563110e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-3.290908672313321533e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-3.290539156118296509e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-3.290200413101494751e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-3.289888860322237549e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-3.289601131564001465e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-3.289334271972266235e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-3.289085289428392334e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-3.288851635915057373e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-3.288630738814836426e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-3.288420283577691650e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-3.288217951003750610e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-3.288021762161534424e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-3.287829373010601196e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-3.287638860089166870e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-3.287448098589412842e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-3.287255179602694092e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-3.287057853768939209e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-3.286854222199075317e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-3.286642066204100952e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-3.286418644593826904e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-3.286182349526228027e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-3.285930346726815186e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-3.285659682429963989e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-3.285367828213577271e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-3.285051046783540039e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-3.284706754855660400e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-3.284330784320916138e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-3.283919692250162354e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-3.283468384839755859e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-3.282972686727767334e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-3.282427110370614624e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-3.281825718063660889e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-3.281162499608553467e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-3.280429569316343994e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-3.279620472641701050e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-3.278726575933405151e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-3.277739231976024170e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-3.276645966872286377e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-3.275436091088512573e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-3.274097965712618408e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-3.272618627636785889e+11
-2.615000000000000213e+00,-6.000000000000000000e+00,-3.270981415903265991e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-3.269170638327611084e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-3.267167723344788208e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-3.264952603721903076e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-3.262502478398278198e+11
-2.390000000000000124e+00,-6.000000000000000000e+00,-3.259794326988439331e+11
-2.345000000000000195e+00,-6.000000000000000000e+00,-3.256805197603551025e+11
-2.300000000000000266e+00,-6.000000000000000000e+00,-3.253495507743269043e+11
-2.254999999999999893e+00,-6.000000000000000000e+00,-3.249843315598065796e+11
-2.209999999999999964e+00,-6.000000000000000000e+00,-3.245813958201580811e+11
-2.165000000000000036e+00,-6.000000000000000000e+00,-3.241364024577744751e+11
-2.120000000000000107e+00,-6.000000000000000000e+00,-3.236459785584403076e+11
-2.075000000000000178e+00,-6.000000000000000000e+00,-3.231057940717556152e+11
-2.030000000000000249e+00,-6.000000000000000000e+00,-3.225106783462390747e+11
-1.985000000000000320e+00,-6.000000000000000000e+00,-3.218552604430782471e+11
-1.939999999999999947e+00,-6.000000000000000000e+00,-3.211338893344758301e+11
-1.895000000000000018e+00,-6.000000000000000000e+00,-3.203426449889007568e+11
-1.850000000000000089e+00,-6.000000000000000000e+00,-3.194728400001650391e+11
-1.805000000000000160e+00,-6.000000000000000000e+00,-3.185197319343023682e+11
-1.760000000000000231e+00,-6.000000000000000000e+00,-3.174760780146026611e+11
-1.715000000000000302e+00,-6.000000000000000000e+00,-3.163354016132870483e+11
-1.669999999999999929e+00,-6.000000000000000000e+00,-3.150868666314317017e+11
-1.625000000000000000e+00,-6.000000000000000000e+00,-3.137246774098806763e+11
-1.580000000000000071e+00,-6.000000000000000000e+00,-3.122445275796840210e+11
-1.535000000000000142e+00,-6.000000000000000000e+00,-3.106332849541084595e+11
-1.490000000000000213e+00,-6.000000000000000000e+00,-3.088863367897691650e+11
-1.445000000000000284e+00,-6.000000000000000000e+00,-3.069943228652139893e+11
-1.400000000000000355e+00,-6.000000000000000000e+00,-3.049504278839677124e+11
-1.354999999999999982e+00,-6.000000000000000000e+00,-3.027500889139984741e+11
-1.310000000000000053e+00,-6.000000000000000000e+00,-3.003883467651095581e+11
-1.265000000000000124e+00,-6.000000000000000000e+00,-2.978541948138432007e+11
-1.220000000000000195e+00,-6.000000000000000000e+00,-2.951494350969847412e+11
-1.175000000000000266e+00,-6.000000000000000000e+00,-2.922712177209231567e+11
-1.130000000000000338e+00,-6.000000000000000000e+00,-2.892144791873408203e+11
-1.084999999999999964e+00,-6.000000000000000000e+00,-2.859884054062610474e+11
-1.040000000000000036e+00,-6.000000000000000000e+00,-2.825943070596312256e+11
-9.950000000000001066e-01,-6.000000000000000000e+00,-2.790348437824861450e+11
-9.500000000000001776e-01,-6.000000000000000000e+00,-2.753199402543065796e+11
-9.050000000000002487e-01,-6.000000000000000000e+00,-2.714585531895516968e+11
-8.600000000000003197e-01,-6.000000000000000000e+00,-2.674682024574691467e+11
-8.150000000000003908e-01,-6.000000000000000000e+00,-2.633565569382256470e+11
-7.700000000000004619e-01,-6.000000000000000000e+00,-2.591537851631312561e+11
-7.250000000000005329e-01,-6.000000000000000000e+00,-2.548737965493477478e+11
-6.799999999999997158e-01,-6.000000000000000000e+00,-2.505311737544482422e+11
-6.349999999999997868e-01,-6.000000000000000000e+00,-2.461600869811110840e+11
-5.899999999999998579e-01,-6.000000000000000000e+00,-2.417792951700712280e+11
-5.449999999999999289e-01,-6.000000000000000000e+00,-2.374107454880570374e+11
-5.000000000000000000e-01,-6.000000000000000000e+00,-2.330744792934764099e+11
-4.550000000000000711e-01,-6.000000000000000000e+00,-2.287898107396981506e+11
-4.100000000000001421e-01,-6.000000000000000000e+00,-2.246019377442160034e+11
-3.650000000000002132e-01,-6.000000000000000000e+00,-2.204961853861277771e+11
-3.200000000000002842e-01,-6.000000000000000000e+00,-2.165089925231035156e+11
-2.750000000000003553e-01,-6.000000000000000000e+00,-2.126551628281766968e+11
-2.300000000000004263e-01,-6.000000000000000000e+00,-2.089471134475050964e+11
-1.850000000000004974e-01,-6.000000000000000000e+00,-2.054098069677273560e+11
-1.400000000000005684e-01,-6.000000000000000000e+00,-2.020197175737232056e+11
-9.499999999999975131e-02,-6.000000000000000000e+00,-1.988178081701141968e+11
-4.999999999999982236e-02,-6.000000000000000000e+00,-1.957758488054482117e+11
-4.999999999999893419e-03,-6.000000000000000000e+00,-1.928858459896224976e+11
4.000000000000003553e-02,-6.000000000000000000e+00,-1.901870998616475525e+11
8.499999999999996447e-02,-6.000000000000000000e+00,-1.876419958795778503e+11
1.299999999999998934e-01,-6.000000000000000000e+00,-1.853160132675584717e+11
1.749999999999998224e-01,-6.000000000000000000e+00,-1.831346255748674316e+11
2.199999999999997513e-01,-6.000000000000000000e+00,-1.810809997596333618e+11
2.649999999999996803e-01,-6.000000000000000000e+00,-1.791843249102132263e+11
3.099999999999996092e-01,-6.000000000000000000e+00,-1.775112016487885742e+11
3.549999999999995381e-01,-6.000000000000000000e+00,-1.759103662894122925e+11
3.999999999999994671e-01,-6.000000000000000000e+00,-1.743847500473948364e+11
4.449999999999993960e-01,-6.000000000000000000e+00,-1.729648516519577332e+11
4.900000000000002132e-01,-6.000000000000000000e+00,-1.717499704522601624e+11
5.350000000000001421e-01,-6.000000000000000000e+00,-1.706727845819386597e+11
5.800000000000000711e-01,-6.000000000000000000e+00,-1.695952116766983032e+11
6.250000000000000000e-01,-6.000000000000000000e+00,-1.686347491822139282e+11
6.699999999999999289e-01,-6.000000000000000000e+00,-1.678057620182723999e+11
7.149999999999998579e-01,-6.000000000000000000e+00,-1.669358751305198059e+11
7.599999999999997868e-01,-6.000000000000000000e+00,-1.662992340202832642e+11
8.049999999999997158e-01,-6.000000000000000000e+00,-1.656387093473455811e+11
8.499999999999996447e-01,-6.000000000000000000e+00,-1.649617418838027344e+11
8.949999999999995737e-01,-6.000000000000000000e+00,-1.644915493216812439e+11
9.399999999999995026e-01,-6.000000000000000000e+00,-1.637100599813140259e+11
9.849999999999994316e-01,-6.000000000000000000e+00,-1.637691550088032532e+11
1.029999999999999361e+00,-6.000000000000000000e+00,-1.631712387271877441e+11
1.075000000000000178e+00,-6.000000000000000000e+00,-1.627065100054176025e+11
1.120000000000000107e+00,-6.000000000000000000e+00,-1.622199857060779114e+11
1.165000000000000036e+00,-6.000000000000000000e+00,-1.619986178358375854e+11
1.209999999999999964e+00,-6.000000000000000000e+00,-1.619276514038285522e+11
1.254999999999999893e+00,-6.000000000000000000e+00,-1.617345308817200928e+11
1.299999999999999822e+00,-6.000000000000000000e+00,-1.615369307979143677e+11
