outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-1.822610076485583801e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-1.820407220815297852e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-1.818418510312144165e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-1.816623341881482239e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-1.815003057147643433e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-1.813540758972369690e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-1.812221141448791504e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-1.811030380339457092e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-1.809955933670454407e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-1.808986500927396851e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-1.808111844307695923e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-1.807322701513260803e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-1.806610728564826660e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-1.805968364898987122e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-1.805388795975908813e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-1.804865856130750122e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-1.804393959065490723e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-1.803968125582786255e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-1.803583748701718140e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-1.803236787541596375e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-1.802923492968457336e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-1.802640554104929199e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-1.802384894109289856e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-1.802153871381535034e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-1.801944924776437073e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-1.801755850836076660e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-1.801584551230604553e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-1.801429359482510986e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-1.801288404222903442e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-1.801160420814757690e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-1.801043848691622314e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-1.800937388453577271e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-1.800840134625266724e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-1.800750889692278442e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-1.800668600965453491e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-1.800592669099395752e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-1.800521902178210754e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-1.800455929193521729e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-1.800393768118556213e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-1.800334999068888245e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-1.800278580494446716e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-1.800224423070543518e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-1.800171544661432495e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-1.800119591731051331e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-1.800068073866005249e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-1.800015736818987122e+11
