outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.929184157708782959e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.929132490724700928e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.929085314833354492e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.929042138197404175e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.929002514420179443e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.928966023251621094e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.928932299776109619e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.928900943113028564e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.928871655289846802e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.928844145768250732e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.928818085615852661e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.928793210372148438e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.928769259551391602e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.928746019323767700e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.928723119478509521e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.928700462558722534e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.928677709944427490e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.928654677664749146e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.928631104975825195e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.928606694263432617e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.928581211433346558e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.928554382143966064e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.928525906435831299e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.928495613562017822e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.928462869487081299e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.928427698938481445e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.928389409083082275e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.928347777518125000e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.928302262197034302e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.928252492952056885e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.928197753583178711e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.928137619732556763e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.928071319683314209e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.927998528030405273e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.927917749862828369e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.927828969820231323e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.927730218308812256e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.927621435260657349e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.927501369026911011e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.927367153356304932e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-4.927220013075651245e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-4.927056429625830078e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-4.926876209127273560e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-4.926675854159283447e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-4.926453107899285889e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-4.926207677433651123e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-4.925935266876920776e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-4.925633143883372192e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-4.925298465976210938e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-4.924928435730706177e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-4.924517842385206909e+11
