model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,0,0.34691929817199707,0.010519027709960938,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,101.0,4.767233848571777,0.7326315789473684,0.21732231693091356
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,0,0.1997213363647461,0.011964797973632812,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.0,4.865450859069824,0.6246315789473684,0.3195527484252131
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,0,0.30069899559020996,0.009014368057250977,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107.0,4.763504981994629,0.6784210526315789,0.25249149695013856
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,0,0.33453369140625,0.043218135833740234,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.0,4.731230735778809,0.6236842105263158,0.31984913453535546
TabPFN Classifier (v2.5 default),50,500,9500,0,0.7699577808380127,2.9523561000823975,,,0.29189537539193045,0.661578947368421,0.2001571882469443
TabPFN Classifier (v2 compatibility),50,500,9500,0,0.1216115951538086,2.6219568252563477,,,0.36615787665238453,0.7247368421052631,0.1779407293563909
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,0,0.3505403995513916,0.017696380615234375,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,92.0,4.788453102111816,0.8112631578947368,0.14874788263550362
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,0,0.48073673248291016,0.02200913429260254,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82.0,4.732297897338867,0.8469473684210527,0.11537576260703415
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,0,0.27062416076660156,0.01300048828125,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,83.0,4.6773529052734375,0.8468421052631578,0.11626406139017657
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,0,0.33596229553222656,0.08179759979248047,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53.0,4.721431732177734,0.8349473684210527,0.126478645463367
TabPFN Classifier (v2.5 default),100,500,9500,0,0.14053964614868164,3.0296521186828613,,,0.13388812072582712,0.8162105263157895,0.12760109286260002
TabPFN Classifier (v2 compatibility),100,500,9500,0,0.12507414817810059,2.841773271560669,,,0.2259583477090163,0.8112631578947368,0.13053022268310838
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,0,0.4505791664123535,0.04857277870178223,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.0,4.639568328857422,0.8509473684210527,0.11302359348617878
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,0,0.30411720275878906,0.06981849670410156,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.0,4.534499168395996,0.9010526315789473,0.07032017320528414
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,0,0.7197823524475098,0.04397916793823242,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126.0,4.484553337097168,0.9069473684210526,0.06643494268969476
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,0,1.5443758964538574,0.22161364555358887,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.0,4.57110595703125,0.884,0.08400165307779113
TabPFN Classifier (v2.5 default),300,500,9500,0,0.2224593162536621,3.1238176822662354,,,0.10151245421525865,0.8654736842105263,0.09367115405869196
TabPFN Classifier (v2 compatibility),300,500,9500,0,0.1324784755706787,2.9753801822662354,,,0.09872394862038592,0.8834736842105263,0.08327936665044035
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,0,0.4999067783355713,0.10455441474914551,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31.0,4.477108001708984,0.8823157894736842,0.08900646225462186
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,0,0.5723283290863037,0.12309932708740234,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.339410781860352,0.9156842105263158,0.0593884074555197
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,0,0.9043529033660889,0.08001375198364258,ABNORMAL: ,54.0,4.267535209655762,0.9146315789473685,0.05972297819246157
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,0,3.9897923469543457,0.5795531272888184,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,65.0,4.403613090515137,0.9023157894736842,0.07002148573388696
TabPFN Classifier (v2.5 default),500,500,9500,0,0.1504666805267334,3.4479684829711914,,,0.07853838798013114,0.8925263157894737,0.07573719810149558
TabPFN Classifier (v2 compatibility),500,500,9500,0,0.12562108039855957,3.2691540718078613,,,0.055478248068896334,0.9021052631578947,0.06836844627800058
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,1,0.3874952793121338,0.01000356674194336,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,115.0,4.692968368530273,0.6130526315789474,0.3287509234658868
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,1,0.15201687812805176,0.012000083923339844,ABNORMAL: ,16.0,5.137130260467529,0.638,0.281032454975123
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,1,0.27303361892700195,0.007004976272583008,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96.0,4.696187973022461,0.6294736842105263,0.30136619946303417
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,1,0.33313417434692383,0.043055057525634766,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.692960739135742,0.6130526315789474,0.3288357656968254
TabPFN Classifier (v2.5 default),50,500,9500,1,0.14551234245300293,2.9555885791778564,,,0.35613670353078647,0.7469473684210526,0.17663202080300977
TabPFN Classifier (v2 compatibility),50,500,9500,1,0.11662507057189941,2.5930535793304443,,,0.3849093158858627,0.7713684210526316,0.16457517428001436
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,1,0.5685508251190186,0.01700448989868164,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.0,4.640162467956543,0.7253684210526316,0.22033109162720796
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,1,0.5879373550415039,0.021450519561767578,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,91.0,4.609936714172363,0.7844210526315789,0.16625087986611917
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,1,0.5316970348358154,0.013010740280151367,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,170.0,4.545741081237793,0.7849473684210526,0.16118117899505371
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,1,0.5755465030670166,0.07536816596984863,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,92.0,4.642999649047852,0.7374736842105263,0.2072815744224942
TabPFN Classifier (v2.5 default),100,500,9500,1,0.16103506088256836,2.9669387340545654,,,0.16662640353965855,0.7876842105263158,0.14299610295681253
TabPFN Classifier (v2 compatibility),100,500,9500,1,0.13895726203918457,2.660524606704712,,,0.19830562998316675,0.8010526315789473,0.1374303024198584
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,1,0.5945508480072021,0.05199146270751953,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.510265350341797,0.8494736842105263,0.11401983159407121
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,1,0.34004759788513184,0.0700216293334961,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.0,4.429686546325684,0.8882105263157895,0.0794035581076759
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,1,0.4308023452758789,0.04577350616455078,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57.0,4.369489669799805,0.8827368421052632,0.08310337658158931
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,1,1.8641903400421143,0.23827075958251953,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73.0,4.470889091491699,0.8758947368421053,0.09054045345012188
TabPFN Classifier (v2.5 default),300,500,9500,1,0.25659823417663574,3.16573429107666,,,0.11337344178911231,0.8598947368421053,0.09682245067993883
TabPFN Classifier (v2 compatibility),300,500,9500,1,0.12172460556030273,2.9978439807891846,,,0.12140168213190662,0.8654736842105263,0.09430170557926942
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,1,0.9789028167724609,0.10155582427978516,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,77.0,4.435022354125977,0.8688421052631579,0.09965629493884992
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,1,0.586284875869751,0.11660337448120117,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.0,4.309868335723877,0.91,0.06428980293584176
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,1,0.869495153427124,0.08204913139343262,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,70.0,4.243237495422363,0.9033684210526316,0.06826989670906168
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,1,2.7994987964630127,0.6123650074005127,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46.0,4.385272979736328,0.8954736842105263,0.07877092243357911
TabPFN Classifier (v2.5 default),500,500,9500,1,0.16053104400634766,3.451091766357422,,,0.0758061765193389,0.8943157894736842,0.07522120685302254
TabPFN Classifier (v2 compatibility),500,500,9500,1,0.12665057182312012,3.2641232013702393,,,0.05012184794372242,0.9014736842105263,0.06858321676798139
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,2,0.25504565238952637,0.012005090713500977,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73.0,4.659670829772949,0.7434736842105263,0.20638113979450073
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,2,0.16213202476501465,0.011517524719238281,ABNORMAL: ,16.0,5.137382984161377,0.638,0.2813842706521743
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,2,0.3736240863800049,0.006005048751831055,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,134.0,4.624327659606934,0.7614736842105263,0.18554166875377556
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,2,0.3693423271179199,0.0405271053314209,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.0,4.656294822692871,0.7430526315789474,0.2060461699547887
TabPFN Classifier (v2.5 default),50,500,9500,2,0.16455388069152832,2.9575352668762207,,,0.258930642769775,0.7569473684210526,0.16433963980973051
TabPFN Classifier (v2 compatibility),50,500,9500,2,0.11547231674194336,2.6307811737060547,,,0.3163132421961013,0.7621052631578947,0.16480049291393212
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,2,0.39098167419433594,0.017023324966430664,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,98.0,4.633716583251953,0.7094736842105264,0.24016459248156743
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,2,0.3074986934661865,0.02299952507019043,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50.0,4.627328872680664,0.8394736842105263,0.11866300618966096
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,2,0.4836852550506592,0.012012243270874023,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132.0,4.546672821044922,0.8314736842105264,0.12444002991113592
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,2,0.4355428218841553,0.0789804458618164,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,70.0,4.612009048461914,0.7353684210526316,0.21025152471047773
TabPFN Classifier (v2.5 default),100,500,9500,2,0.1393733024597168,2.991969347000122,,,0.1494935634729162,0.8095789473684211,0.12983901697522537
