model,train_size,runs,train_pool_size,test_size,n_restarts,n_successful_restarts_mean,n_failed_restarts_mean,accuracy_mean,accuracy_std,brier_mean,brier_std,final_train_nll_mean,final_train_nll_std,train_time_med,infer_time_med,lbfgs_iterations_med
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,10,500.0,9500.0,16.0,16.0,0.0,0.6887894736842106,0.049364150241084,0.25501070045076313,0.04508472189780554,4.74880690574646,0.20459579898187694,4.08738911151886,0.009001016616821289,51.5
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,10,500.0,9500.0,16.0,16.0,0.0,0.8039368421052633,0.029674304680380997,0.15136937200862438,0.025605971116597792,4.584882402420044,0.10183368523016005,6.74491548538208,0.014061808586120605,45.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,10,500.0,9500.0,16.0,16.0,0.0,0.8962,0.00829324800364636,0.0741279599197888,0.00622786634776126,4.408291292190552,0.08624426932234677,8.796445846557617,0.038797855377197266,33.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,10,500.0,9500.0,16.0,16.0,0.0,0.9101157894736842,0.0078590930254399,0.06471746964083666,0.005442187671558548,4.273742771148681,0.04286351014614729,15.285662412643433,0.07363903522491455,31.0
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,10,500.0,9500.0,16.0,16.0,0.0,0.6844105263157895,0.054928106009526516,0.2657612776388781,0.05290855516180267,4.561367988586426,0.1394453227817419,12.903191089630127,0.02758932113647461,87.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,10,500.0,9500.0,16.0,16.0,0.0,0.7704631578947368,0.04239584525251599,0.1846781969118809,0.039264008608969475,4.554222869873047,0.11030273175081504,14.09387481212616,0.05117928981781006,92.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,10,500.0,9500.0,16.0,16.0,0.0,0.8793052631578947,0.004507973169741311,0.08847001717670658,0.003456055587651342,4.447983646392823,0.08232689044410789,38.86283504962921,0.16096341609954834,83.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,10,500.0,9500.0,16.0,16.0,0.0,0.8934631578947367,0.0077395985064828325,0.07817037709231131,0.005937109612588126,4.331191539764404,0.04917364989507095,85.04677641391754,0.32249927520751953,76.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,10,500.0,9500.0,16.0,16.0,0.0,0.7043894736842106,0.04128833370895078,0.2447433591555666,0.03990018784853108,4.578183794021607,0.14807207155345375,12.312295317649841,0.008570194244384766,125.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,10,500.0,9500.0,16.0,15.6,0.4,0.7567473684210526,0.03615109531990093,0.19800749029487472,0.0326726101613674,4.570723628997802,0.12406827557975733,10.526713013648987,0.010791778564453125,115.5
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,10,500.0,9500.0,16.0,16.0,0.0,0.8530631578947367,0.013585831701536263,0.11086704111096146,0.010542055282019633,4.509803390502929,0.08621303921558104,13.775286316871643,0.031876444816589355,81.5
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,10,500.0,9500.0,16.0,16.0,0.0,0.8735473684210525,0.009524755130473213,0.09503474580434697,0.007460429406474038,4.403596210479736,0.06479786665876659,16.99225151538849,0.05774819850921631,62.5
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,10,500.0,9500.0,16.0,15.7,0.3,0.7080631578947368,0.04353771533052591,0.23349481116828302,0.03952461365875183,4.57754807472229,0.15402920515211635,10.586809754371643,0.005063295364379883,142.5
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,10,500.0,9500.0,16.0,16.0,0.0,0.8105894736842105,0.0227379900078437,0.14448821721696348,0.018961409743205895,4.50681505203247,0.11094410657081105,12.440569877624512,0.008127927780151367,148.0
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,10,500.0,9500.0,16.0,16.0,0.0,0.8942315789473684,0.00808447246164348,0.07534529576620555,0.005995449829322791,4.355803537368774,0.09108079693616097,14.044944763183594,0.024826407432556152,111.5
