model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,0,5.5530846118927,0.009932994842529297,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.767233848571777,0.7327368421052631,0.21725904547748387
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,0,4.301788806915283,0.008579015731811523,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51.0,4.856758117675781,0.6258947368421053,0.3208155860912198
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,0,7.8651580810546875,0.02685379981994629,16,16,0,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82.0,4.731197357177734,0.623578947368421,0.31989200438447324
TabPFN Classifier (v2.5 default),50,500,9500,0,1.6388707160949707,2.972965955734253,1,1,0,0,,,0.2838041060615776,0.6617894736842105,0.20144211637360795
TabPFN Classifier (v2 compatibility),50,500,9500,0,0.18226146697998047,2.6417236328125,1,1,0,0,,,0.33045482775941587,0.7933684210526316,0.1518748601953363
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,0,6.412946462631226,0.011001110076904297,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94.0,4.788439750671387,0.8111578947368421,0.14878847422780966
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,0,4.6211254596710205,0.013002395629882812,16,16,0,1,ABNORMAL: ,73.0,4.732010364532471,0.8466315789473684,0.11544929487981885
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,0,8.47403073310852,0.049163818359375,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,116.0,4.721407890319824,0.8347368421052631,0.12656101653205598
TabPFN Classifier (v2.5 default),100,500,9500,0,0.15060186386108398,3.099466562271118,1,1,0,0,,,0.1324942840106911,0.816,0.1279820244700654
TabPFN Classifier (v2 compatibility),100,500,9500,0,0.12162137031555176,2.635507345199585,1,1,0,0,,,0.21257195040705404,0.8191578947368421,0.12432366461277951
