model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,0,5.603902578353882,0.012247085571289062,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.767233848571777,0.3979166325337159,0.7327368421052631,0.21725904547748387
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,0,4.60188364982605,0.008002281188964844,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51.0,4.856758117675781,0.23172533512247628,0.6258947368421053,0.3208155860912198
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,0,7.5485358238220215,0.030649423599243164,16,16,0,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82.0,4.731197357177734,0.25124889253019733,0.623578947368421,0.31989200438447324
TabPFN Classifier (v2.5 default),50,500,9500,0,0.3259594440460205,2.959388256072998,1,1,0,0,,,0.2838041060615776,,0.6617894736842105,0.20144211637360795
TabPFN Classifier (v2 compatibility),50,500,9500,0,0.16477203369140625,2.6094677448272705,1,1,0,0,,,0.33045482775941587,,0.7933684210526316,0.1518748601953363
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,0,6.159963369369507,0.008604764938354492,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94.0,4.788439750671387,0.6688571683190487,0.8111578947368421,0.14878847422780966
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,0,4.476599216461182,0.010615110397338867,16,16,0,1,ABNORMAL: ,73.0,4.732010364532471,0.7109350920454477,0.8466315789473684,0.11544929487981885
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,0,8.659388542175293,0.03926897048950195,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,116.0,4.721407890319824,0.7241355165248988,0.8347368421052631,0.12656101653205598
TabPFN Classifier (v2.5 default),100,500,9500,0,0.13649940490722656,2.8420214653015137,1,1,0,0,,,0.1324942840106911,,0.816,0.1279820244700654
TabPFN Classifier (v2 compatibility),100,500,9500,0,0.10480523109436035,2.7092220783233643,1,1,0,0,,,0.21257195040705404,,0.8191578947368421,0.12432366461277951
