model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,rmse,rrmse,crps,error
"GP+ GPR (RBF, ARD, LBFGS-defaults)",50,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",100,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",300,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",500,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,0,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",50,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",100,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",300,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",500,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,1,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",50,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",100,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",300,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",500,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,2,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",50,500,9500,3,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,3,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,3,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (RBF, ARD, LBFGS-defaults)",100,500,9500,3,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,3,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
"GP+ GPR (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,3,,,16,0,16,,model_failed,,,,,,,module 'numpy' has no attribute 'math'
