model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,kf_frac_10,kf_frac_50,kf_frac_90,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,0,1.1892871856689453,0.008161544799804688,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89,4.767233848571777,0.3263288276221853,0.8873186216650314,0.42794991664151605,0.1258185658212308,0.7327368421052631,0.21725904547748387
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,0,1.0633289813995361,0.007652759552001953,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44,4.857048034667969,0.32676823089793705,0.8834598744255007,0.5071686215160374,0.11168125095207494,0.625578947368421,0.32074181718120676
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,0,1.7273461818695068,0.03384900093078613,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,99,4.731208801269531,0.3355230138695624,0.8934737133310698,0.47037142395507986,0.0918846566992789,0.6238947368421053,0.31993404164238937
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,0,1.394071340560913,0.019725322723388672,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94,4.788439750671387,0.638950910983874,0.8620444608311536,0.45706639854245,0.08739888312696323,0.8111578947368421,0.14878847422780966
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,0,1.4841363430023193,0.016799449920654297,4,4,0,1,ABNORMAL: ,73,4.732010364532471,0.6498739423086288,0.8727079615975135,0.4760769287269133,0.12660043104944296,0.8466315789473684,0.11544929487981885
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,0,1.793339490890503,0.04013633728027344,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73,4.7214250564575195,0.6546664265541697,0.8788648952929543,0.47194679396345274,0.0940592498005334,0.8353684210526315,0.1264065110717801
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,0,1.8909616470336914,0.01817941665649414,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,68,4.639566421508789,0.8554527807421151,0.8624064230969313,0.43569256416451363,0.039024339178564786,0.8510526315789474,0.11296084668104552
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,0,1.2644455432891846,0.04345107078552246,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,4.533916473388672,0.8535655731632397,0.8549927878902883,0.4362294426428176,0.008132396166382151,0.9010526315789473,0.0702619249382424
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,0,7.1588053703308105,0.1531822681427002,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,4.571100234985352,0.8465670383138016,0.8534385747435003,0.415790637339145,0.00942372477944435,0.8838947368421053,0.0840374551294731
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,0,2.0545623302459717,0.052637577056884766,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32,4.477105140686035,0.9063429382267506,0.8593399625891913,0.4249475929378428,0.08247595425906937,0.8821052631578947,0.08905750223184579
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,0,3.112685441970825,0.05557394027709961,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,4.338538646697998,0.9035460908577815,0.8679915789909852,0.5041072971663746,0.1552655938423269,0.9165263157894736,0.05875072794057415
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,0,16.41621971130371,0.22849106788635254,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71,4.40361213684082,0.9099781038361028,0.8658204927902382,0.46159276936727056,0.10281289823058545,0.9024210526315789,0.07003132944799265
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,1,1.937971830368042,0.007855892181396484,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,160,4.692940711975098,0.30832488967516647,0.8734485502588124,0.4332366047946321,0.05767290365613017,0.6131578947368421,0.3288994549753689
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,1,0.4751410484313965,0.0,4,4,0,0,ABNORMAL: ,17,5.136942386627197,0.3725664090338106,0.8951623566628388,0.5122575402814056,0.09875757924478037,0.638,0.28145073536701054
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,1,1.8218834400177002,0.024672508239746094,4,4,0,1,ABNORMAL: ,114,4.692183494567871,0.3301888657141386,0.8657597713916725,0.45196050923016184,0.10239116883762596,0.6129473684210527,0.3281621275234622
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,1,1.2669503688812256,0.010367155075073242,4,3,1,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,146,4.640158653259277,0.6225726200120574,0.8746808371815277,0.43397283611113585,0.09005660162194079,0.7252631578947368,0.22064893981936198
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,1,1.3340253829956055,0.017294883728027344,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46,4.6096978187561035,0.5394605012102858,0.843325533943592,0.34451664011807537,0.005981452281312541,0.784,0.16620255474868031
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,1,2.127206802368164,0.04962611198425293,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,87,4.643000602722168,0.6268107066200186,0.8673838501885599,0.44730450137626865,0.10860907745827372,0.737578947368421,0.20724153627426398
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,1,2.3651161193847656,0.027123451232910156,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,98,4.510247230529785,0.8505999424390207,0.8590299681406881,0.4162103578599886,0.046203700623144724,0.8493684210526316,0.11396855541922105
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,1,1.4247784614562988,0.03424191474914551,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,4.427698135375977,0.8325831620832894,0.8431861907018332,0.3789104103122797,-0.10034719900544645,0.8885263157894737,0.07951055551295226
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,1,7.798948526382446,0.1481027603149414,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93,4.470887184143066,0.8448982636547873,0.8540682794047199,0.4285962190930215,0.03993873869844364,0.8757894736842106,0.09052736861700118
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,1,4.206466436386108,0.04786062240600586,4,4,0,2,ABNORMAL: ,82,4.435020446777344,0.9122881659953244,0.8677846094981594,0.4653135988346462,0.12228534135729535,0.8687368421052631,0.0997148311893475
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,1,2.651348829269409,0.07468152046203613,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,4.309865951538086,0.9137217407510239,0.8743819647194997,0.4559902630668885,0.07568235284507638,0.9097894736842105,0.06416335501260087
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,1,15.43411636352539,0.22919988632202148,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72,4.385231971740723,0.9104114458188803,0.8666387322238355,0.47284157037117425,0.12154894829537265,0.8954736842105263,0.07870024028350862
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,2,1.3505101203918457,0.06509208679199219,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,118,4.65634822845459,0.30147232264194657,0.8751463839252656,0.4405976680848947,0.07826174417536447,0.7432631578947368,0.20601452946140614
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,2,0.5000903606414795,0.006356239318847656,4,4,0,3,ABNORMAL: ,16,5.137147903442383,0.3392005227053414,0.9073323834954471,0.4941448388136759,0.08660380869085071,0.638,0.2815062258959987
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,2,2.0529065132141113,0.03229522705078125,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,99,4.6562700271606445,0.27577881880822464,0.8712251119111053,0.4060242159296342,0.051070582691319574,0.7430526315789474,0.20612519669074775
