x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	target
1.0	1.0	1.0	1.0	-1.0	0.0	1.0	0.0	-1.0	1.0	7.739059925079346
-1.0	0.0	-1.0	-1.0	1.0	1.0	1.0	0.0	-1.0	0.0	3.9567599296569824
1.0	0.0	1.0	1.0	-1.0	-1.0	0.0	1.0	1.0	1.0	4.7159199714660645
1.0	0.0	0.0	1.0	0.0	-1.0	1.0	1.0	1.0	-1.0	5.028629779815674
-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	-1.0	-11.574799537658691
1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	6.878170013427734
1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-1.9430299997329712
1.0	-1.0	0.0	-1.0	1.0	1.0	1.0	-1.0	1.0	0.0	-1.425920009613037
-1.0	0.0	-1.0	-1.0	-1.0	1.0	0.0	1.0	-1.0	1.0	-3.654510021209717
-1.0	1.0	-1.0	0.0	1.0	0.0	-1.0	0.0	-1.0	1.0	-1.491760015487671
1.0	0.0	1.0	1.0	-1.0	1.0	-1.0	0.0	0.0	0.0	6.888430118560791
-1.0	1.0	1.0	0.0	1.0	-1.0	-1.0	-1.0	1.0	-1.0	-4.06112003326416
1.0	-1.0	0.0	0.0	1.0	0.0	0.0	-1.0	0.0	-1.0	0.18061600625514984
1.0	0.0	0.0	1.0	1.0	-1.0	0.0	1.0	1.0	0.0	3.285209894180298
-1.0	0.0	1.0	-1.0	-1.0	-1.0	1.0	-1.0	0.0	1.0	-8.001970291137695
1.0	1.0	-1.0	1.0	-1.0	0.0	1.0	0.0	0.0	0.0	4.754769802093506
1.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0	-1.0	0.0	-2.0808699131011963
-1.0	0.0	0.0	1.0	1.0	-1.0	0.0	1.0	-1.0	-1.0	-1.2788599729537964
-1.0	-1.0	1.0	-1.0	-1.0	0.0	0.0	1.0	1.0	-1.0	-4.915470123291016
-1.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	-4.611460208892822
-1.0	1.0	1.0	0.0	-1.0	-1.0	-1.0	-1.0	1.0	0.0	-10.802000045776367
-1.0	-1.0	-1.0	0.0	-1.0	-1.0	1.0	-1.0	0.0	-1.0	-7.473979949951172
-1.0	1.0	0.0	1.0	-1.0	-1.0	0.0	-1.0	0.0	-1.0	-8.602100372314453
-1.0	-1.0	1.0	1.0	-1.0	-1.0	0.0	1.0	1.0	0.0	-7.6089701652526855
1.0	0.0	-1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.8357000350952148
1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	5.922389984130859
-1.0	-1.0	1.0	-1.0	-1.0	1.0	-1.0	-1.0	1.0	-1.0	-4.847760200500488
-1.0	0.0	-1.0	-1.0	1.0	1.0	-1.0	1.0	0.0	1.0	-0.7547529935836792
1.0	-1.0	0.0	0.0	1.0	-1.0	1.0	-1.0	0.0	1.0	1.2945200204849243
-1.0	-1.0	0.0	-1.0	1.0	-1.0	1.0	0.0	-1.0	-1.0	-1.1315900087356567
1.0	-1.0	1.0	-1.0	-1.0	-1.0	-1.0	1.0	0.0	-1.0	0.0031153999734669924
1.0	0.0	0.0	-1.0	-1.0	1.0	1.0	0.0	1.0	-1.0	2.934109926223755
-1.0	0.0	0.0	0.0	-1.0	0.0	0.0	1.0	-1.0	1.0	-5.818079948425293
-1.0	-1.0	-1.0	1.0	0.0	1.0	-1.0	-1.0	0.0	-1.0	-3.108099937438965
1.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	1.0	1.0	0.0	3.4433999061584473
-1.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0	-1.0	0.0	1.0	-9.417340278625488
1.0	-1.0	-1.0	1.0	0.0	-1.0	0.0	0.0	0.0	-1.0	-0.5326679944992065
-1.0	-1.0	-1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.601199984550476
1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	0.0	1.0	9.636750221252441
-1.0	1.0	1.0	1.0	1.0	-1.0	1.0	0.0	-1.0	-1.0	-1.7905999422073364
1.0	0.0	-1.0	0.0	-1.0	-1.0	0.0	-1.0	1.0	-1.0	1.3862199783325195
-1.0	0.0	-1.0	1.0	-1.0	1.0	1.0	0.0	1.0	-1.0	-2.862679958343506
-1.0	0.0	1.0	0.0	0.0	1.0	1.0	-1.0	1.0	0.0	-0.4965600073337555
-1.0	0.0	0.0	-1.0	1.0	1.0	-1.0	1.0	-1.0	-1.0	0.9943199753761292
1.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	1.0	0.0	-1.0	0.6369839906692505
1.0	-1.0	-1.0	0.0	-1.0	0.0	0.0	-1.0	0.0	0.0	-0.9694780111312866
-1.0	-1.0	-1.0	0.0	1.0	1.0	0.0	1.0	1.0	-1.0	2.1031699180603027
-1.0	1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	-1.0	-7.213190078735352
1.0	1.0	1.0	1.0	-1.0	1.0	-1.0	1.0	0.0	1.0	9.563810348510742
1.0	0.0	0.0	1.0	1.0	-1.0	0.0	-1.0	-1.0	1.0	4.0519700050354
1.0	-1.0	-1.0	1.0	-1.0	1.0	1.0	1.0	0.0	0.0	-2.028599977493286
-1.0	0.0	-1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	-1.0	2.0679399967193604
-1.0	1.0	1.0	1.0	1.0	0.0	0.0	-1.0	-1.0	-1.0	-0.503928005695343
-1.0	0.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	0.0	1.0	-8.862939834594727
1.0	0.0	1.0	0.0	-1.0	1.0	-1.0	-1.0	-1.0	0.0	4.938759803771973
-1.0	-1.0	1.0	-1.0	0.0	1.0	0.0	-1.0	-1.0	-1.0	-0.7734040021896362
-1.0	1.0	1.0	0.0	0.0	-1.0	0.0	1.0	0.0	1.0	-4.783880233764648
-1.0	1.0	0.0	-1.0	1.0	-1.0	0.0	-1.0	1.0	-1.0	-0.36469700932502747
